"Selected Nomen","Native Nomen","Reporter","Reporter Name","Product","Product Name","Partner","Partner Name","Tariff Year","Trade Year","Trade Source","DutyType","Simple Average","Weighted Average","Standard Deviation","Minimum Rate","Maximum Rate","Nbr of Total Lines","Nbr of DomesticPeaks","Nbr of InternationalPeaks","Imports Value in 1000 USD","Binding Coverage"
"HS","H4","840","United States","620293","620293 --  -- Of man-made fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,5,0,0,249.153,
"HS","H4","840","United States","620312","620312 --  -- Of synthetic fibres","410","Korea, Rep.",2012,2012,"CMT","AHS",22.4,22.4,4.9,17.5,27.3,2,2,2,135.686,
"HS","H4","840","United States","620322","620322 --  -- Of cotton","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,2,0,0,513.216,
"HS","H4","840","United States","620333","620333 --  -- Of synthetic fibres","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,82.137,
"HS","H4","840","United States","620342","620342 --  -- Of cotton","410","Korea, Rep.",2012,2012,"CMT","AHS",8.97,8.97,6.84,0,16.6,3,1,1,305.448,
"HS","H4","840","United States","620349","620349 --  -- Of other textile materials","410","Korea, Rep.",2014,2014,"CMT","AHS",0.22,0.22,0.44,0,1.1,5,0,0,4.896,
"HS","H4","840","United States","620422","620422 --  -- Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,196.116,
"HS","H4","840","United States","620432","620432 --  -- Of cotton","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,2,0,0,51.175,
"HS","H4","840","United States","620441","620441 --  -- Of wool or fine animal hair","410","Korea, Rep.",2012,2012,"CMT","AHS",10.4,10.4,3.2,7.2,13.6,2,0,0,23.034,
"HS","H4","840","United States","620443","620443 --  -- Of synthetic fibres","410","Korea, Rep.",2014,2014,"CMT","AHS",0,0,0,0,0,4,0,0,1066.67,
"HS","H4","840","United States","620451","620451 --  -- Of wool or fine animal hair","410","Korea, Rep.",2013,2013,"CMT","AHS",0,0,0,0,0,1,0,0,16.403,
"HS","H4","840","United States","620459","620459 --  -- Of other textile materials","410","Korea, Rep.",2012,2012,"CMT","AHS",12.2,12.2,3.67,6.6,16,4,1,1,20.006,
